variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
alternatives,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,79.21,113.11,35.3,37.1,False,False
alternatives,pcbench-srambo_1_srambo_1,1,1,0,0,136,136,140.56,164.83,41.6,43.1,False,False
alternatives,pcbench-kitspace_sympetrum-v2%20NFF1.1,13,13,0,0,171,171,122.14999999999999,150.29,24.0,26.6,False,False
alternatives,pcbench-8bit-cpu_programming_interface,5,5,0,0,1,1,53.300000000000004,63.68,29.7,30.7,False,False
alternatives,pcbench-EnvOpenPico_EliteMicro2040,13,13,0,0,0,0,74.94,82.86,30.1,30.3,False,False
alternatives,pcbench-Mouse_Mouse,4,4,0,0,44,44,52.79,54.75,35.9,36.0,False,False
alternatives,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,18.94,19.81,41.4,41.8,False,False
alternatives,pcbench-TK44_TK44,15,15,1,1,0,0,133.15,147.53,102.5,103.6,False,False
alternatives,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,37.86,31.450000000000003,40.5,40.6,False,False
alternatives,pcbench-gb-hardware_GB-CARTPP-XC,9,9,0,0,0,0,96.91000000000001,79.64,39.7,40.8,False,False
alternatives,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,132.15,118.07000000000001,32.0,32.4,False,False
alternatives,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,70.08,85.59,37.0,38.8,False,False
alternatives,pcbench-antdroid-board_antdroid-board,18,18,0,0,0,0,71.16,73.88,41.5,47.6,False,False
alternatives,pcbench-ChirpHardware_chirp,1,1,0,0,29,29,64.63000000000001,84.86,22.1,23.6,False,False
alternatives,pcbench-Doorman_doorman_slot,6,6,0,0,0,0,11.27,9.33,18.3,18.3,False,False
alternatives,pcbench-TinyTracker_ub-minimal,3,3,0,0,199,199,57.94,57.989999999999995,28.1,30.5,False,False
alternatives,pcbench-esper_EsperDNS,9,9,0,0,0,0,69.3,61.52,43.1,43.1,False,False
alternatives,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,133.99,132.4,62.6,64.5,False,False
alternatives,pcbench-real-time-chess_kfchess,78,71,70,73,0,0,304.84999999999997,301.34999999999997,180.1,180.1,True,True
alternatives,pcbench-karabas-nano_karabas-nano-revC,97,54,1,1,199,199,299.95,299.69,63.7,81.8,True,True
alternatives,pcbench-kinetoscope_sram-bank,111,112,0,0,0,0,299.35,274.83000000000004,82.0,82.6,True,False
alternatives,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,0,0,0,0,0,134.14,118.33,92.4,92.3,False,False
alternatives,pcbench-free-of-charge_BMS,0,0,0,0,142,142,145.26000000000002,121.91,63.6,72.2,False,False
alternatives,pcbench-freeUSBi_USBi_Programmer,0,0,0,0,8,8,3.1399999999999997,2.68,17.5,17.5,False,False
alternatives,kicad-issue180-test--test,0,0,0,0,0,0,4.930000000000001,4.949999999999999,26.5,26.4,False,False
alternatives,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,64.17999999999999,74.38999999999999,51.2,56.5,False,False
alternatives,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,209.04,131.67999999999998,48.3,47.8,False,False
alternatives,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,11.52,7.7,17.5,17.4,False,False
alternatives,pcbench-Hardware_Playground_nrf52832_uno,0,0,0,0,37,37,24.33,35.25,17.4,17.6,False,False
alternatives,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,120,43.46,43.6,24.9,26.1,False,False
alternatives,pcbench-clock_lcdb4,0,0,0,0,0,0,20.419999999999998,20.43,17.5,17.5,False,False
alternatives,pcbench-kitspace_piezo_amplifier,0,0,0,0,0,0,26.810000000000002,26.48,23.0,23.0,False,False
