variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
conflicts,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,166.08,102.1,104.1,False,False
conflicts,pcbench-kitspace_USB-C-Screen-Adapter,3,4,2,2,83,83,151.38000000000002,160.29,62.3,68.9,False,False
conflicts,pcbench-1-Wire-Wing-pcb_1-Wire_Wing,0,0,0,0,26,26,4.6499999999999995,4.67,17.3,17.5,False,False
conflicts,pcbench-12v-automatic-ups_ups-12v,0,0,0,0,0,0,7.54,11.75,27.1,27.3,False,False
conflicts,pcbench-16x12-bits-I2C_I2C_Servo,0,0,0,0,26,26,5.069999999999999,7.55,17.3,17.5,False,False
conflicts,pcbench-1Bitsy_1bitsy,0,0,0,0,0,0,168.53,163.87,40.2,41.6,False,False
conflicts,pcbench-2d_conduction_sk9822-matrix,0,0,0,0,0,0,107.37,105.99000000000001,23.6,23.7,False,False
conflicts,pcbench-4N35-TTL-Serial-Optoisolator_4N35-TTL-Serial-Optoisolator,0,0,0,0,0,0,0.13,0.13,17.3,17.5,False,False
conflicts,pcbench-655_testboard,0,0,0,0,91,91,16.64,13.03,17.4,17.5,False,False
conflicts,pcbench-6N137-TTL-Serial-Optoisolator_6N137-TTL-Serial-Optoisolator,0,0,0,0,0,0,0.36,0.36,17.4,17.5,False,False
conflicts,pcbench-6volt-5W-solar-cc_6vleadacidsolar,0,0,0,0,0,0,12.58,15.549999999999999,17.3,17.5,False,False
conflicts,pcbench-74Logic_SA_ADC_SA-ADC,0,0,0,0,96,96,189.27,220.97000000000003,61.3,60.3,False,False
conflicts,pcbench-8bit-cpu_arduino_eeprom_programmer,2,2,0,0,0,0,14.66,20.669999999999998,29.6,30.5,False,False
conflicts,pcbench-8bit-cpu_programming_interface,5,5,0,0,1,1,67.78,71.66,29.9,29.9,False,False
conflicts,pcbench-96boards-sensors_Sensors,0,0,21,21,1,1,219.7,238.71,78.9,79.1,False,False
conflicts,pcbench-ABOVISP_ABOVISP,0,0,0,0,4,4,1.5,1.54,17.4,17.5,False,False
conflicts,pcbench-ADC-PCM4202-SE_ADC-PCM4202-SE,0,0,0,0,26,26,105.01,90.47,37.0,37.0,False,False
conflicts,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,76.80999999999999,94.93,36.7,37.1,False,False
conflicts,pcbench-APC_AtariPunkConsole,0,0,0,0,0,0,2.34,1.67,17.3,17.5,False,False
conflicts,pcbench-APM-RPi-Shield_APM-RPi-Shield,0,0,1,1,0,0,66.14,57.74,26.0,28.0,False,False
conflicts,pcbench-AS5043-Encoder_sensor-board,0,0,0,0,30,30,1.26,1.42,17.4,17.5,False,False
conflicts,pcbench-ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU,0,0,0,0,0,0,11.14,11.78,17.3,17.5,False,False
conflicts,pcbench-ATtiny461Breakout_ATTiny461DevBoard,0,0,0,0,0,0,1.53,1.56,17.3,17.5,False,False
conflicts,pcbench-AVR-ISP_level-shifter_AVR-ISP_level-shifter,0,0,0,0,0,0,4.21,4.26,17.3,17.5,False,False
conflicts,pcbench-AVR-ISP_pogo-plug_1.27mm_AVR-ISP_pogo-plug_1.27mm,0,0,0,0,40,40,0.45,0.46,17.3,17.5,False,False
conflicts,pcbench-AVR-Playground_hello_world,0,0,0,0,0,0,0.14,0.14,17.3,17.5,False,False
conflicts,pcbench-AVR-ZIF-Programmer_AVR-ZIF-Prog,0,0,0,0,3,3,16.84,17.0,17.3,17.5,False,False
conflicts,pcbench-Amiga-2000-EATX_TICK_OSC_KiCAD_TICK,0,0,0,0,0,0,1.07,1.08,17.3,17.5,False,False
conflicts,pcbench-Amiga-A1012-PCB_Amiga-A1012,0,0,0,0,0,0,33.89,37.24,18.5,19.1,False,False
conflicts,pcbench-AmpOne_dev-AmpOne,0,0,0,0,0,0,68.84,70.21000000000001,32.5,36.3,False,False
conflicts,pcbench-AnalogThermometer_AnalogThermometer,0,0,0,0,0,0,3.1199999999999997,3.1599999999999997,17.3,17.5,False,False
conflicts,pcbench-Apple-M0110-BT_Apple M0110,0,0,0,0,79,79,8.549999999999999,8.41,30.0,29.6,False,False
conflicts,pcbench-Arduino-Theremin_arduino-theremin-v1,0,0,0,0,0,0,1.02,1.54,17.4,17.5,False,False
conflicts,pcbench-Arduino_Lipo_Storage_Discharger_Lipo_Storage_Discharger,0,0,0,0,0,0,10.16,10.379999999999999,17.3,17.5,False,False
conflicts,pcbench-Atmel-ICE-Header-Adapter_ice header adapter pcb,0,0,0,0,50,50,13.809999999999999,16.52,17.3,17.5,False,False
conflicts,pcbench-Avem_Hardware_Avem_demo,0,0,0,0,60,60,33.83,29.92,17.8,17.5,False,False
conflicts,pcbench-AzizLight_AzizLight,0,0,0,0,0,0,33.55,25.92,17.3,17.5,False,False
