variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
demand,pcbench-Feather-ICE40-PCB_feather_ice40,26,29,0,0,0,0,76.96,113.77000000000001,34.4,36.3,False,False
demand,pcbench-srambo_1_srambo_1,1,0,0,0,136,150,122.76,172.70000000000002,40.9,35.1,False,False
demand,pcbench-kitspace_sympetrum-v2%20NFF1.1,13,13,0,0,171,185,93.62,140.23000000000002,23.4,26.3,False,False
demand,pcbench-8bit-cpu_programming_interface,5,4,0,0,1,0,60.18,72.43,30.5,31.1,False,False
demand,pcbench-EnvOpenPico_EliteMicro2040,13,17,0,0,0,0,60.39,122.73,30.2,28.3,False,False
demand,pcbench-Mouse_Mouse,4,0,0,0,44,44,34.22,36.190000000000005,35.9,38.2,False,False
demand,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,9,0,0,0,0,13.84,18.669999999999998,41.7,43.8,False,False
demand,pcbench-TK44_TK44,15,15,1,6,0,0,126.58,155.27,101.8,109.9,False,False
demand,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,25.43,29.53,40.4,36.3,False,False
demand,pcbench-gb-hardware_GB-CARTPP-XC,9,7,0,0,0,0,78.61,77.16,39.9,39.4,False,False
demand,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,28,5,6,2,1,95.0,101.0,31.8,31.6,False,False
demand,pcbench-AIOsense_AIOsense,18,21,0,1,0,0,73.42999999999999,87.92999999999999,36.7,39.5,False,False
demand,pcbench-antdroid-board_antdroid-board,18,20,0,0,0,0,49.64,33.260000000000005,41.5,45.1,False,False
demand,pcbench-ChirpHardware_chirp,1,0,0,0,29,29,70.0,33.61000000000001,21.8,19.2,False,False
demand,pcbench-Doorman_doorman_slot,6,7,0,0,0,0,6.66,4.680000000000001,18.8,18.4,False,False
demand,pcbench-TinyTracker_ub-minimal,3,3,0,0,200,198,55.04,33.38,28.0,27.3,False,False
demand,pcbench-esper_EsperDNS,9,10,0,0,0,0,61.52,48.07,42.9,39.1,False,False
demand,pcbench-kitspace_USB-C-Screen-Adapter,3,4,2,2,83,83,162.84,124.82000000000001,62.6,65.3,False,False
demand,pcbench-real-time-chess_kfchess,84,67,73,73,0,0,296.45,301.88,178.2,144.9,True,True
demand,pcbench-karabas-nano_karabas-nano-revC,97,89,1,1,199,199,294.56,299.08000000000004,62.6,58.2,True,True
demand,pcbench-kinetoscope_sram-bank,110,103,0,1,0,0,293.61999999999995,298.93,71.0,80.5,True,True
demand,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,5,0,0,0,0,149.35,100.66,91.3,93.9,False,False
demand,pcbench-free-of-charge_BMS,0,1,0,0,142,142,169.09,115.61,63.5,65.2,False,False
demand,pcbench-freeUSBi_USBi_Programmer,0,0,0,0,8,8,2.34,5.22,17.4,17.4,False,False
demand,kicad-issue180-test--test,0,1,0,0,0,0,5.23,6.75,26.5,27.1,False,False
demand,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,65.77,56.87,51.5,43.6,False,False
demand,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,219.28,157.82000000000002,47.0,46.1,False,False
demand,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,7.01,14.99,17.3,17.5,False,False
demand,pcbench-Hardware_Playground_nrf52832_uno,0,0,0,0,37,37,27.080000000000002,20.520000000000003,17.3,17.5,False,False
demand,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,119,55.269999999999996,19.78,24.4,22.1,False,False
demand,pcbench-clock_lcdb4,0,0,0,0,0,0,21.22,16.98,17.4,17.5,False,False
demand,pcbench-kitspace_piezo_amplifier,0,0,0,0,0,0,28.220000000000002,23.24,23.0,19.1,False,False
targets,pcbench-Feather-ICE40-PCB_feather_ice40,26,27,0,0,0,0,76.96,76.55,34.4,39.5,False,False
targets,pcbench-srambo_1_srambo_1,1,0,0,0,136,177,122.76,89.86,40.9,36.0,False,False
targets,pcbench-kitspace_sympetrum-v2%20NFF1.1,13,13,0,0,171,173,93.62,87.55000000000001,23.4,25.2,False,False
targets,pcbench-8bit-cpu_programming_interface,5,3,0,0,1,32,60.18,42.72,30.5,30.4,False,False
targets,pcbench-EnvOpenPico_EliteMicro2040,13,13,0,0,0,0,60.39,51.050000000000004,30.2,24.0,False,False
targets,pcbench-Mouse_Mouse,4,4,0,0,44,44,34.22,27.9,35.9,35.5,False,False
targets,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,13.84,13.04,41.7,43.8,False,False
targets,pcbench-TK44_TK44,15,15,1,1,0,0,126.58,135.5,101.8,109.4,False,False
targets,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,25.43,25.69,40.4,40.1,False,False
targets,pcbench-gb-hardware_GB-CARTPP-XC,9,9,0,0,0,0,78.61,64.06,39.9,40.1,False,False
targets,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,28,5,7,2,2,95.0,83.64,31.8,31.6,False,False
targets,pcbench-AIOsense_AIOsense,18,19,0,0,0,0,73.42999999999999,71.27,36.7,37.1,False,False
targets,pcbench-antdroid-board_antdroid-board,18,18,0,0,0,0,49.64,48.88,41.5,41.3,False,False
targets,pcbench-ChirpHardware_chirp,1,1,0,0,29,29,70.0,56.830000000000005,21.8,22.1,False,False
targets,pcbench-Doorman_doorman_slot,6,6,0,0,0,0,6.66,6.22,18.8,18.4,False,False
targets,pcbench-TinyTracker_ub-minimal,3,3,0,0,200,199,55.04,39.550000000000004,28.0,25.5,False,False
targets,pcbench-esper_EsperDNS,9,10,0,0,0,0,61.52,40.529999999999994,42.9,42.9,False,False
targets,pcbench-kitspace_USB-C-Screen-Adapter,3,4,2,2,83,83,162.84,128.77,62.6,67.0,False,False
targets,pcbench-real-time-chess_kfchess,84,69,73,77,0,0,296.45,301.23,178.2,117.7,True,True
targets,pcbench-karabas-nano_karabas-nano-revC,97,59,1,1,199,199,294.56,299.54999999999995,62.6,75.0,True,True
targets,pcbench-kinetoscope_sram-bank,110,107,0,0,0,0,293.61999999999995,257.82,71.0,80.8,True,False
targets,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,1,0,0,0,0,149.35,69.61,91.3,87.4,False,False
targets,pcbench-free-of-charge_BMS,0,0,0,0,142,142,169.09,85.11,63.5,45.5,False,False
targets,pcbench-freeUSBi_USBi_Programmer,0,0,0,0,8,8,2.34,1.56,17.4,17.4,False,False
targets,kicad-issue180-test--test,0,0,0,0,0,0,5.23,2.28,26.5,27.4,False,False
targets,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,65.77,35.42,51.5,43.3,False,False
targets,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,219.28,103.31,47.0,45.0,False,False
targets,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,7.01,10.14,17.3,17.4,False,False
targets,pcbench-Hardware_Playground_nrf52832_uno,0,0,0,0,37,37,27.080000000000002,11.04,17.3,23.9,False,False
targets,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,116,55.269999999999996,21.7,24.4,20.8,False,False
targets,pcbench-clock_lcdb4,0,0,0,0,0,0,21.22,7.45,17.4,17.4,False,False
targets,pcbench-kitspace_piezo_amplifier,0,0,0,0,0,0,28.220000000000002,9.709999999999999,23.0,19.9,False,False
