variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
alternatives,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,111.04,108.0,34.7,37.4,False,False
alternatives,pcbench-srambo_1_srambo_1,1,1,0,0,136,136,148.1,117.19,41.4,42.9,False,False
alternatives,pcbench-kitspace_sympetrum-v2%20NFF1.1,13,13,0,0,171,171,98.11000000000001,131.72,24.1,26.8,False,False
alternatives,pcbench-8bit-cpu_programming_interface,5,5,0,0,1,1,83.0,76.05999999999999,30.4,30.6,False,False
alternatives,pcbench-EnvOpenPico_EliteMicro2040,13,13,0,0,0,0,58.29,95.13,29.2,30.4,False,False
alternatives,pcbench-Mouse_Mouse,4,4,0,0,44,44,32.8,47.75,36.0,36.0,False,False
alternatives,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,18.3,18.66,41.6,41.2,False,False
alternatives,pcbench-TK44_TK44,15,15,1,1,0,0,122.08,148.20999999999998,102.0,103.1,False,False
alternatives,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,21.599999999999998,34.470000000000006,40.6,40.7,False,False
alternatives,pcbench-gb-hardware_GB-CARTPP-XC,9,9,0,0,0,0,99.91999999999999,88.77,39.8,41.1,False,False
alternatives,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,136.17,124.4,32.0,32.7,False,False
alternatives,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,85.35,99.85,36.8,38.9,False,False
alternatives,pcbench-antdroid-board_antdroid-board,18,18,0,0,0,0,69.51,74.49000000000001,41.7,47.4,False,False
alternatives,pcbench-ChirpHardware_chirp,1,1,0,0,29,29,63.69,60.71,21.9,23.6,False,False
alternatives,pcbench-Doorman_doorman_slot,6,6,0,0,0,0,11.23,10.69,18.4,18.1,False,False
alternatives,pcbench-TinyTracker_ub-minimal,3,3,0,0,199,199,61.08,62.97,28.1,30.3,False,False
alternatives,pcbench-esper_EsperDNS,9,9,0,0,0,0,67.0,78.08999999999999,43.0,42.7,False,False
alternatives,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,157.20999999999998,158.67999999999998,62.8,64.4,False,False
alternatives,pcbench-real-time-chess_kfchess,76,78,72,70,0,0,302.29999999999995,303.15000000000003,180.6,179.5,True,True
alternatives,pcbench-karabas-nano_karabas-nano-revC,97,97,1,1,199,199,299.69,300.0,61.5,61.4,True,True
alternatives,pcbench-kinetoscope_sram-bank,111,112,0,0,0,0,299.79,299.84,83.2,81.1,True,True
alternatives,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,0,0,0,0,0,156.17000000000002,123.74,91.5,91.3,False,False
alternatives,pcbench-free-of-charge_BMS,0,0,0,0,142,142,156.43,159.65,63.3,71.0,False,False
alternatives,pcbench-freeUSBi_USBi_Programmer,0,0,0,0,8,8,3.1,3.37,17.5,17.5,False,False
alternatives,kicad-issue180-test--test,0,0,0,0,0,0,4.27,4.930000000000001,26.5,26.4,False,False
alternatives,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,63.9,65.53999999999999,49.8,56.6,False,False
alternatives,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,197.63,192.81,47.3,47.5,False,False
alternatives,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,11.549999999999999,11.5,17.5,17.5,False,False
alternatives,pcbench-Hardware_Playground_nrf52832_uno,0,0,0,0,37,37,28.240000000000002,23.360000000000003,17.5,17.4,False,False
alternatives,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,120,36.870000000000005,54.57,24.8,25.8,False,False
alternatives,pcbench-clock_lcdb4,0,0,0,0,0,0,20.32,20.47,17.5,17.5,False,False
alternatives,pcbench-kitspace_piezo_amplifier,0,0,0,0,0,0,26.77,22.65,23.0,22.8,False,False
connections,pcbench-Feather-ICE40-PCB_feather_ice40,26,28,0,0,0,0,111.04,114.11,34.7,37.6,False,False
connections,pcbench-srambo_1_srambo_1,1,1,0,0,136,136,148.1,175.32,41.4,43.0,False,False
connections,pcbench-kitspace_sympetrum-v2%20NFF1.1,13,13,0,0,171,171,98.11000000000001,148.46,24.1,26.8,False,False
connections,pcbench-8bit-cpu_programming_interface,5,5,0,0,1,1,83.0,84.30000000000001,30.4,29.8,False,False
connections,pcbench-EnvOpenPico_EliteMicro2040,13,13,0,0,0,0,58.29,73.73,29.2,31.6,False,False
connections,pcbench-Mouse_Mouse,4,3,0,0,44,44,32.8,34.69,36.0,36.0,False,False
connections,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,18.3,19.37,41.6,40.4,False,False
