variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
rebuild,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,83.11,113.75999999999999,34.5,35.5,False,False
rebuild,pcbench-srambo_1_srambo_1,1,1,0,0,136,136,146.54,170.44,40.3,41.1,False,False
rebuild,pcbench-Mouse_Mouse,4,4,0,0,44,44,30.12,55.769999999999996,36.1,35.8,False,False
rebuild,pcbench-TK44_TK44,15,15,1,1,0,0,128.66,166.64000000000001,102.5,103.5,False,False
rebuild,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,36.36,31.02,40.6,40.7,False,False
rebuild,pcbench-gb-hardware_GB-CARTPP-XC,9,9,0,0,0,0,74.45,116.77,40.1,40.0,False,False
rebuild,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,88.66,93.02999999999999,31.8,32.7,False,False
rebuild,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,111.26,106.36999999999999,36.9,36.9,False,False
rebuild,pcbench-real-time-chess_kfchess,67,65,70,73,0,0,602.52,558.01,178.8,173.2,True,False
rebuild,pcbench-karabas-nano_karabas-nano-revC,39,40,1,1,199,199,598.83,598.24,97.3,98.7,True,True
rebuild,pcbench-kinetoscope_sram-bank,112,112,0,0,0,0,373.9,411.38,81.7,82.8,False,False
rebuild,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,0,0,0,0,0,136.4,174.17,92.3,92.2,False,False
rebuild,kicad-issue180-test--test,0,0,0,0,0,0,4.85,5.07,26.5,28.5,False,False
rebuild,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,74.44,54.459999999999994,50.4,51.2,False,False
rebuild,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,187.22,219.73,46.9,46.9,False,False
rebuild,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,7.38,11.62,17.5,17.4,False,False
topology,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,83.11,112.6,34.5,37.0,False,False
topology,pcbench-srambo_1_srambo_1,1,1,0,0,136,136,146.54,131.0,40.3,41.0,False,False
topology,pcbench-Mouse_Mouse,4,4,0,0,44,44,30.12,58.13,36.1,36.0,False,False
topology,pcbench-TK44_TK44,15,15,1,1,0,0,128.66,158.13,102.5,102.7,False,False
topology,pcbench-hbr-mk2_hbr-mk2-digital,14,16,0,0,0,0,36.36,25.880000000000003,40.6,41.1,False,False
topology,pcbench-gb-hardware_GB-CARTPP-XC,9,9,0,0,0,0,74.45,115.12,40.1,40.3,False,False
topology,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,88.66,131.15,31.8,32.5,False,False
topology,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,111.26,75.7,36.9,37.1,False,False
topology,pcbench-real-time-chess_kfchess,67,65,70,73,0,0,602.52,509.75,178.8,173.4,True,False
topology,pcbench-karabas-nano_karabas-nano-revC,39,30,1,1,199,199,598.83,598.3100000000001,97.3,112.4,True,True
topology,pcbench-kinetoscope_sram-bank,112,112,0,0,0,0,373.9,398.48,81.7,83.5,False,False
topology,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,0,0,0,0,0,136.4,157.0,92.3,92.8,False,False
topology,kicad-issue180-test--test,0,0,0,0,0,0,4.85,5.800000000000001,26.5,26.7,False,False
topology,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,74.44,77.75,50.4,51.3,False,False
topology,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,187.22,212.28,46.9,47.5,False,False
topology,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,7.38,11.54,17.5,17.5,False,False
conflicts,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,83.11,115.07000000000001,34.5,36.8,False,False
conflicts,pcbench-srambo_1_srambo_1,1,0,0,0,136,165,146.54,139.72,40.3,40.3,False,False
conflicts,pcbench-Mouse_Mouse,4,3,0,0,44,44,30.12,41.22,36.1,38.1,False,False
conflicts,pcbench-TK44_TK44,15,15,1,1,0,0,128.66,160.25,102.5,101.9,False,False
conflicts,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,36.36,38.410000000000004,40.6,40.6,False,False
