variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
preserve,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,161.21,102.1,104.4,False,False
preserve,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,151.38000000000002,169.09,62.3,69.9,False,False
preserve,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,76.80999999999999,132.33,36.7,37.3,False,False
preserve,pcbench-CAL430FR_CAL430F,0,1,0,0,0,0,164.21,149.92,29.4,30.6,False,False
preserve,pcbench-CATs-Eurosynth_Abakus_Main,15,20,0,0,0,0,115.75,84.55,37.5,37.5,False,False
preserve,pcbench-CATs-Eurosynth_CGS_Analog_Switch_Matrix_Main,8,11,0,0,0,0,77.34,100.74000000000001,38.6,35.4,False,False
preserve,pcbench-CATs-Eurosynth_MFOS_Eight_Stage_Phase_Shifter_-_Main,20,20,0,0,0,0,78.34,81.3,37.0,37.1,False,False
preserve,pcbench-DC25_DC25,0,0,11,11,29,29,30.59,26.55,19.9,21.3,False,False
preserve,pcbench-EncoderBoard_Enc_Pan_Led,0,0,0,0,39,39,109.18,133.49,32.1,30.2,False,False
preserve,pcbench-FRM16_Relay_Module_I2C_Controller_relay_controller,0,0,0,0,0,0,24.99,21.16,17.4,17.5,False,False
preserve,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,94.14,98.30999999999999,35.4,35.5,False,False
preserve,pcbench-Hardware_Playground_rpi_zero,0,0,31,22,0,0,32.36000000000001,46.36000000000001,22.6,19.8,False,False
preserve,pcbench-LPC2148_Stick_LPC2148_stick,3,0,3,2,182,197,235.33,240.59,61.2,61.5,False,False
preserve,pcbench-LPC2148_Stick__autosave-LPC2148_stick,3,0,3,2,182,197,225.96,223.35,59.6,61.6,False,False
preserve,pcbench-Mouse_Mouse,4,1,0,0,44,44,38.980000000000004,51.95,36.1,36.3,False,False
preserve,pcbench-NRC2016_usb_sio,0,0,0,0,166,154,27.53,24.009999999999998,27.8,25.8,False,False
preserve,pcbench-Pi1541io_Pi1541io,9,9,12,17,0,0,97.42,73.99,39.8,38.8,False,False
preserve,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,20.669999999999998,20.61,42.2,37.2,False,False
preserve,pcbench-RoBoC_RoboticsMKII,0,0,3,7,0,0,157.17000000000002,164.06,60.4,62.4,False,False
preserve,pcbench-Solare-BQ24210_Solare-BQ24210,1,0,0,0,14,14,70.51,2.5,17.3,17.5,False,False
preserve,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,122,53.730000000000004,30.09,24.8,19.9,False,False
preserve,pcbench-bobc_MS-F100,0,0,0,0,189,163,65.44000000000001,119.71,22.8,21.7,False,False
preserve,pcbench-domotics_base-board-arranged,0,0,3,3,0,0,50.61,59.13,46.3,50.4,False,False
preserve,pcbench-epapercard_epapercard,0,0,0,0,137,138,46.49,52.03,18.2,19.9,False,False
preserve,pcbench-esper_EsperDNS,9,7,0,0,0,0,74.31,61.31,42.9,41.2,False,False
preserve,pcbench-free-of-charge_BMS,0,1,0,0,142,143,160.33,121.38000000000001,63.7,67.4,False,False
preserve,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,3,0,0,0,0,118.51,110.96000000000001,92.3,92.5,False,False
preserve,pcbench-gb-hardware_GB-CARTPP-XC,9,7,0,0,0,0,123.87,85.66,40.1,38.8,False,False
preserve,pcbench-hbr-mk2_hbr-mk2-bpfs,7,10,0,0,0,0,97.44999999999999,93.08999999999999,52.6,43.1,False,False
preserve,pcbench-hbr-mk2_hbr-mk2-digital,14,18,0,0,0,0,35.79,28.04,40.6,36.7,False,False
preserve,pcbench-karabas-nano_karabas-nano-revC,81,94,1,1,200,199,299.43,299.95000000000005,63.3,60.5,True,True
preserve,pcbench-kinetoscope_sram-bank,112,108,0,0,0,0,299.18,299.51000000000005,83.2,83.7,True,True
preserve,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,117.69,140.85,32.1,31.9,False,False
preserve,pcbench-real-time-chess_kfchess,78,73,70,74,0,0,302.33000000000004,302.5,180.2,177.5,True,True
preserve,pcbench-rp2040-dmxsun_baseboard_2slots,0,1,8,7,0,0,28.41,21.330000000000002,37.5,39.3,False,False
preserve,pcbench-rp2040-dmxsun_baseboard_4slots,0,0,3,6,4,4,46.24,45.61,54.0,47.6,False,False
preserve,pcbench-srambo_1_srambo_1,1,1,0,0,136,139,169.95000000000002,166.03,41.7,39.5,False,False
