variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
conflicts,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,166.08,102.1,104.1,False,False
conflicts,pcbench-kitspace_USB-C-Screen-Adapter,3,4,2,2,83,83,151.38000000000002,160.29,62.3,68.9,False,False
conflicts,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,76.80999999999999,94.93,36.7,37.1,False,False
conflicts,pcbench-CAL430FR_CAL430F,0,1,0,0,0,0,164.21,193.06,29.4,28.9,False,False
conflicts,pcbench-CATs-Eurosynth_Abakus_Main,15,16,0,0,0,0,115.75,158.4,37.5,37.1,False,False
conflicts,pcbench-CATs-Eurosynth_CGS_Analog_Switch_Matrix_Main,8,12,0,0,0,0,77.34,68.05000000000001,38.6,36.2,False,False
conflicts,pcbench-CATs-Eurosynth_MFOS_Eight_Stage_Phase_Shifter_-_Main,20,19,0,0,0,0,78.34,110.16999999999999,37.0,37.0,False,False
conflicts,pcbench-DC25_DC25,0,0,11,14,29,32,30.59,20.75,19.9,19.4,False,False
conflicts,pcbench-EncoderBoard_Enc_Pan_Led,0,1,0,0,39,39,109.18,116.24000000000001,32.1,30.1,False,False
conflicts,pcbench-FRM16_Relay_Module_I2C_Controller_relay_controller,0,0,0,0,0,25,24.99,26.24,17.4,17.5,False,False
conflicts,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,94.14,100.75,35.4,36.8,False,False
conflicts,pcbench-Hardware_Playground_rpi_zero,0,0,31,22,0,0,32.36000000000001,50.900000000000006,22.6,19.4,False,False
conflicts,pcbench-LPC2148_Stick_LPC2148_stick,3,0,3,2,182,199,235.33,250.79999999999998,61.2,58.3,False,False
conflicts,pcbench-LPC2148_Stick__autosave-LPC2148_stick,3,0,3,2,182,199,225.96,228.04,59.6,56.8,False,False
conflicts,pcbench-Mouse_Mouse,4,3,0,0,44,44,38.980000000000004,33.18,36.1,38.2,False,False
conflicts,pcbench-NRC2016_usb_sio,0,0,0,0,166,156,27.53,22.04,27.8,28.0,False,False
conflicts,pcbench-Pi1541io_Pi1541io,9,5,12,9,0,0,97.42,91.96,39.8,39.7,False,False
conflicts,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,10,0,0,0,0,20.669999999999998,13.46,42.2,38.0,False,False
conflicts,pcbench-RoBoC_RoboticsMKII,0,0,3,5,0,0,157.17000000000002,154.91000000000003,60.4,68.7,False,False
conflicts,pcbench-Solare-BQ24210_Solare-BQ24210,1,0,0,0,14,14,70.51,1.44,17.3,17.5,False,False
conflicts,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,122,53.730000000000004,25.86,24.8,19.8,False,False
conflicts,pcbench-bobc_MS-F100,0,0,0,0,189,169,65.44000000000001,94.33,22.8,29.4,False,False
conflicts,pcbench-domotics_base-board-arranged,0,0,3,6,0,0,50.61,73.14,46.3,42.6,False,False
conflicts,pcbench-epapercard_epapercard,0,0,0,0,137,111,46.49,82.36999999999999,18.2,19.9,False,False
conflicts,pcbench-esper_EsperDNS,9,8,0,0,0,0,74.31,66.98,42.9,42.2,False,False
conflicts,pcbench-free-of-charge_BMS,0,1,0,0,142,143,160.33,172.28,63.7,67.3,False,False
conflicts,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,0,0,0,0,0,118.51,170.81,92.3,92.3,False,False
conflicts,pcbench-gb-hardware_GB-CARTPP-XC,9,8,0,0,0,0,123.87,112.71,40.1,40.5,False,False
conflicts,pcbench-hbr-mk2_hbr-mk2-bpfs,7,9,0,0,0,0,97.44999999999999,91.97,52.6,41.5,False,False
conflicts,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,35.79,41.53,40.6,40.7,False,False
conflicts,pcbench-karabas-nano_karabas-nano-revC,81,94,1,1,200,200,299.43,299.9,63.3,60.4,True,True
conflicts,pcbench-kinetoscope_sram-bank,112,114,0,0,0,0,299.18,299.62,83.2,69.6,True,True
conflicts,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,117.69,139.5,32.1,31.9,False,False
conflicts,pcbench-real-time-chess_kfchess,78,76,70,73,0,0,302.33000000000004,304.45000000000005,180.2,173.5,True,True
conflicts,pcbench-rp2040-dmxsun_baseboard_2slots,0,1,8,7,0,0,28.41,22.41,37.5,39.9,False,False
conflicts,pcbench-rp2040-dmxsun_baseboard_4slots,0,1,3,5,4,4,46.24,54.26,54.0,49.3,False,False
conflicts,pcbench-srambo_1_srambo_1,1,0,0,0,136,165,169.95000000000002,126.72,41.7,39.8,False,False
conflicts,pcbench-zx-sizif-128_sizif128,0,1,0,0,12,12,211.8,204.18,85.6,80.4,False,False
conflicts,kicad-issue180-test--test,0,0,0,0,0,0,4.890000000000001,5.609999999999999,26.6,28.4,False,False
