variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
targets,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,160.59,102.1,109.1,False,False
targets,pcbench-kitspace_USB-C-Screen-Adapter,3,4,2,2,83,83,151.38000000000002,201.14999999999998,62.3,67.2,False,False
targets,pcbench-1-Wire-Wing-pcb_1-Wire_Wing,0,0,0,0,26,28,4.6499999999999995,7.85,17.3,17.3,False,False
targets,pcbench-12v-automatic-ups_ups-12v,0,0,0,0,0,0,7.54,15.57,27.1,27.1,False,False
targets,pcbench-16x12-bits-I2C_I2C_Servo,0,0,0,0,26,26,5.069999999999999,8.03,17.3,17.3,False,False
targets,pcbench-1Bitsy_1bitsy,0,3,0,0,0,0,168.53,192.63000000000002,40.2,42.7,False,False
targets,pcbench-2d_conduction_sk9822-matrix,0,0,0,0,0,0,107.37,120.46,23.6,21.5,False,False
targets,pcbench-4N35-TTL-Serial-Optoisolator_4N35-TTL-Serial-Optoisolator,0,0,0,0,0,0,0.13,0.26,17.3,17.3,False,False
targets,pcbench-655_testboard,0,0,0,0,91,99,16.64,14.25,17.4,17.3,False,False
targets,pcbench-6N137-TTL-Serial-Optoisolator_6N137-TTL-Serial-Optoisolator,0,0,0,0,0,0,0.36,1.06,17.4,17.3,False,False
targets,pcbench-6volt-5W-solar-cc_6vleadacidsolar,0,0,0,0,0,0,12.58,16.169999999999998,17.3,17.3,False,False
targets,pcbench-74Logic_SA_ADC_SA-ADC,0,0,0,0,96,96,189.27,204.11,61.3,76.0,False,False
targets,pcbench-8bit-cpu_arduino_eeprom_programmer,2,2,0,0,0,0,14.66,23.98,29.6,30.3,False,False
targets,pcbench-8bit-cpu_programming_interface,5,3,0,0,1,32,67.78,62.85,29.9,30.1,False,False
targets,pcbench-96boards-sensors_Sensors,0,1,21,8,1,2,219.7,195.10999999999999,78.9,68.7,False,False
targets,pcbench-ABOVISP_ABOVISP,0,0,0,0,4,4,1.5,2.2899999999999996,17.4,17.3,False,False
targets,pcbench-ADC-PCM4202-SE_ADC-PCM4202-SE,0,0,0,0,26,26,105.01,74.94000000000001,37.0,29.4,False,False
targets,pcbench-AIOsense_AIOsense,18,19,0,0,0,0,76.80999999999999,81.78999999999999,36.7,36.3,False,False
targets,pcbench-APC_AtariPunkConsole,0,0,0,0,0,0,2.34,1.96,17.3,17.4,False,False
targets,pcbench-APM-RPi-Shield_APM-RPi-Shield,0,0,1,1,0,0,66.14,28.35,26.0,26.0,False,False
targets,pcbench-AS5043-Encoder_sensor-board,0,0,0,0,30,34,1.26,1.31,17.4,17.3,False,False
targets,pcbench-ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU,0,0,0,0,0,0,11.14,3.5599999999999996,17.3,17.3,False,False
targets,pcbench-ATtiny461Breakout_ATTiny461DevBoard,0,0,0,0,0,0,1.53,1.53,17.3,17.3,False,False
targets,pcbench-AVR-ISP_level-shifter_AVR-ISP_level-shifter,0,0,0,0,0,0,4.21,5.51,17.3,17.3,False,False
targets,pcbench-AVR-ISP_pogo-plug_1.27mm_AVR-ISP_pogo-plug_1.27mm,0,0,0,0,40,40,0.45,0.28,17.3,17.3,False,False
targets,pcbench-AVR-Playground_hello_world,0,0,0,0,0,0,0.14,0.13,17.3,17.3,False,False
targets,pcbench-AVR-ZIF-Programmer_AVR-ZIF-Prog,0,0,0,0,3,3,16.84,11.61,17.3,17.3,False,False
targets,pcbench-Amiga-2000-EATX_TICK_OSC_KiCAD_TICK,0,0,0,0,0,0,1.07,1.05,17.3,17.3,False,False
targets,pcbench-Amiga-A1012-PCB_Amiga-A1012,0,0,0,0,0,0,33.89,21.23,18.5,17.3,False,False
targets,pcbench-AmpOne_dev-AmpOne,0,0,0,3,0,0,68.84,76.92999999999999,32.5,39.6,False,False
