variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
final,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,144.5,102.1,103.0,False,False
final,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,151.38000000000002,136.91000000000003,62.3,63.1,False,False
final,pcbench-1-Wire-Wing-pcb_1-Wire_Wing,0,0,0,0,26,26,4.6499999999999995,4.01,17.3,17.4,False,False
final,pcbench-12v-automatic-ups_ups-12v,0,0,0,0,0,0,7.54,11.69,27.1,27.2,False,False
final,pcbench-16x12-bits-I2C_I2C_Servo,0,0,0,0,26,26,5.069999999999999,5.29,17.3,17.4,False,False
final,pcbench-1Bitsy_1bitsy,0,0,0,0,0,0,168.53,150.82000000000002,40.2,42.4,False,False
final,pcbench-2d_conduction_sk9822-matrix,0,0,0,0,0,0,107.37,107.18,23.6,23.7,False,False
final,pcbench-4N35-TTL-Serial-Optoisolator_4N35-TTL-Serial-Optoisolator,0,0,0,0,0,0,0.13,0.22,17.3,17.5,False,False
final,pcbench-655_testboard,0,0,0,0,91,91,16.64,13.53,17.4,17.4,False,False
final,pcbench-6N137-TTL-Serial-Optoisolator_6N137-TTL-Serial-Optoisolator,0,0,0,0,0,0,0.36,0.36,17.4,17.4,False,False
final,pcbench-6volt-5W-solar-cc_6vleadacidsolar,0,0,0,0,0,0,12.58,14.17,17.3,17.4,False,False
final,pcbench-74Logic_SA_ADC_SA-ADC,0,0,0,0,96,96,189.27,200.8,61.3,59.4,False,False
final,pcbench-8bit-cpu_arduino_eeprom_programmer,2,2,0,0,0,0,14.66,19.69,29.6,30.4,False,False
final,pcbench-8bit-cpu_programming_interface,5,5,0,0,1,1,67.78,57.45,29.9,30.2,False,False
final,pcbench-96boards-sensors_Sensors,0,0,21,21,1,1,219.7,211.71,78.9,79.0,False,False
final,pcbench-ABOVISP_ABOVISP,0,0,0,0,4,4,1.5,1.55,17.4,17.5,False,False
final,pcbench-ADC-PCM4202-SE_ADC-PCM4202-SE,0,0,0,0,26,26,105.01,99.28,37.0,37.2,False,False
final,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,76.80999999999999,102.64,36.7,36.6,False,False
final,pcbench-APC_AtariPunkConsole,0,0,0,0,0,0,2.34,2.34,17.3,17.5,False,False
final,pcbench-APM-RPi-Shield_APM-RPi-Shield,0,0,1,1,0,0,66.14,66.19,26.0,26.4,False,False
final,pcbench-AS5043-Encoder_sensor-board,0,0,0,0,30,30,1.26,1.28,17.4,17.4,False,False
final,pcbench-ATmega32_ExploreUltraAvrDevKit_40pin_AVRMCU,0,0,0,0,0,0,11.14,11.75,17.3,17.4,False,False
final,pcbench-ATtiny461Breakout_ATTiny461DevBoard,0,0,0,0,0,0,1.53,1.55,17.3,17.4,False,False
final,pcbench-AVR-ISP_level-shifter_AVR-ISP_level-shifter,0,0,0,0,0,0,4.21,4.27,17.3,17.5,False,False
final,pcbench-AVR-ISP_pogo-plug_1.27mm_AVR-ISP_pogo-plug_1.27mm,0,0,0,0,40,40,0.45,0.46,17.3,17.5,False,False
final,pcbench-AVR-Playground_hello_world,0,0,0,0,0,0,0.14,0.13,17.3,17.4,False,False
final,pcbench-AVR-ZIF-Programmer_AVR-ZIF-Prog,0,0,0,0,3,3,16.84,16.94,17.3,17.4,False,False
final,pcbench-Amiga-2000-EATX_TICK_OSC_KiCAD_TICK,0,0,0,0,0,0,1.07,1.07,17.3,17.5,False,False
final,pcbench-Amiga-A1012-PCB_Amiga-A1012,0,0,0,0,0,0,33.89,39.78,18.5,18.6,False,False
final,pcbench-AmpOne_dev-AmpOne,0,0,0,0,0,0,68.84,70.56,32.5,32.7,False,False
final,pcbench-AnalogThermometer_AnalogThermometer,0,0,0,0,0,0,3.1199999999999997,3.0999999999999996,17.3,17.4,False,False
final,pcbench-Apple-M0110-BT_Apple M0110,0,0,0,0,79,79,8.549999999999999,8.559999999999999,30.0,29.8,False,False
final,pcbench-Arduino-Theremin_arduino-theremin-v1,0,0,0,0,0,0,1.02,1.53,17.4,17.5,False,False
final,pcbench-Arduino_Lipo_Storage_Discharger_Lipo_Storage_Discharger,0,0,0,0,0,0,10.16,10.309999999999999,17.3,17.6,False,False
final,pcbench-Atmel-ICE-Header-Adapter_ice header adapter pcb,0,0,0,0,50,50,13.809999999999999,16.180000000000003,17.3,17.5,False,False
final,pcbench-Avem_Hardware_Avem_demo,0,0,0,0,60,60,33.83,36.85,17.8,17.6,False,False
final,pcbench-AzizLight_AzizLight,0,0,0,0,0,0,33.55,30.08,17.3,17.5,False,False
final,pcbench-BB-PWR-3608_BB-PWR-3608_revA,0,0,0,0,0,0,0.7,0.7,17.3,17.4,False,False
final,pcbench-BB-PWR-8009_BB-PWR-8009_revA,0,0,0,0,0,0,0.59,0.49,17.5,17.4,False,False
final,pcbench-BLDC-controller_BLDC_controller,11,11,9,9,215,215,229.99,271.51,57.4,58.2,False,False
final,pcbench-BML-Badges_BML-Badges,0,0,0,0,0,0,0.42,0.43,17.3,17.5,False,False
final,pcbench-BML-Badges_BML_01,0,0,0,0,0,0,0.78,0.93,17.3,17.4,False,False
final,pcbench-Baofeng-Interface_BaofengInterfaceIsolated,0,0,0,0,12,12,10.99,13.049999999999999,17.3,17.4,False,False
final,pcbench-BirdAttractor_BirdAttractor_RevA,0,0,0,0,0,0,0.98,0.99,17.3,17.5,False,False
final,pcbench-BirdAttractor_BirdAttractor_RevC,0,0,0,0,0,0,24.65,25.92,17.3,17.5,False,False
final,pcbench-BirthdayCakeKeyboard_10Key,0,0,0,0,46,46,175.60999999999999,180.84,37.7,37.7,False,False
final,pcbench-Biscay_Blueeye_mcu,0,0,0,0,0,0,8.97,5.89,17.3,17.5,False,False
final,pcbench-Biscay_Blueeye_sipm-fpga,0,0,0,0,0,0,69.38,51.7,20.9,20.9,False,False
final,pcbench-Blink-Eras_AVR_ISP_Pogo,0,0,0,0,7,7,0.09,0.13,17.3,17.4,False,False
final,pcbench-Blitz_.C68,499,414,0,0,0,0,302.21,304.21,93.0,93.0,True,True
final,pcbench-Blitz_Rev.K_C68,499,499,0,0,0,0,303.46,301.69,96.0,96.2,True,True
final,pcbench-Blitz_copy,483,499,0,0,0,0,303.02,302.31,96.0,96.5,True,True
final,pcbench-Box0-hv-analog-breakoutboard_breakout,128,128,0,0,0,0,51.959999999999994,64.39,17.3,17.5,False,False
final,pcbench-Brushless_ESC_Brushless_ESC,0,0,0,0,28,28,63.230000000000004,69.12,22.2,22.2,False,False
final,pcbench-C-BISCUIT_crowbar,0,0,0,0,0,0,0.29000000000000004,0.3,17.4,17.5,False,False
final,pcbench-CAL430FR_CAL430F,0,0,0,0,0,0,164.21,185.98000000000002,29.4,29.8,False,False
