variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
control,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,131.72,102.1,103.1,False,False
control,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,151.38000000000002,149.01000000000002,62.3,62.7,False,False
control,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,76.80999999999999,67.89,36.7,37.8,False,False
control,pcbench-CAL430FR_CAL430F,0,0,0,0,0,0,164.21,187.27,29.4,29.8,False,False
control,pcbench-CATs-Eurosynth_Abakus_Main,15,15,0,0,0,0,115.75,109.89,37.5,38.5,False,False
control,pcbench-CATs-Eurosynth_CGS_Analog_Switch_Matrix_Main,8,8,0,0,0,0,77.34,84.95,38.6,38.9,False,False
control,pcbench-CATs-Eurosynth_MFOS_Eight_Stage_Phase_Shifter_-_Main,20,20,0,0,0,0,78.34,89.45,37.0,37.2,False,False
control,pcbench-DC25_DC25,0,0,11,11,29,29,30.59,28.39,19.9,20.0,False,False
control,pcbench-EncoderBoard_Enc_Pan_Led,0,0,0,0,39,39,109.18,115.81,32.1,31.9,False,False
control,pcbench-FRM16_Relay_Module_I2C_Controller_relay_controller,0,0,0,0,0,0,24.99,24.849999999999998,17.4,17.4,False,False
control,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,94.14,83.28,35.4,35.4,False,False
control,pcbench-Hardware_Playground_rpi_zero,0,0,31,31,0,0,32.36000000000001,40.58,22.6,22.9,False,False
control,pcbench-LPC2148_Stick_LPC2148_stick,3,3,3,3,182,182,235.33,229.07999999999998,61.2,60.0,False,False
control,pcbench-LPC2148_Stick__autosave-LPC2148_stick,3,3,3,3,182,182,225.96,258.23,59.6,59.0,False,False
control,pcbench-Mouse_Mouse,4,4,0,0,44,44,38.980000000000004,49.31,36.1,36.1,False,False
control,pcbench-NRC2016_usb_sio,0,0,0,0,166,166,27.53,31.54,27.8,28.1,False,False
control,pcbench-Pi1541io_Pi1541io,9,9,12,12,0,0,97.42,70.74000000000001,39.8,40.0,False,False
control,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,20.669999999999998,20.86,42.2,41.5,False,False
control,pcbench-RoBoC_RoboticsMKII,0,0,3,3,0,0,157.17000000000002,155.98,60.4,60.3,False,False
control,pcbench-Solare-BQ24210_Solare-BQ24210,1,1,0,0,14,14,70.51,79.13000000000001,17.3,17.4,False,False
control,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,120,53.730000000000004,44.67,24.8,24.8,False,False
control,pcbench-bobc_MS-F100,0,0,0,0,189,189,65.44000000000001,65.59,22.8,23.1,False,False
control,pcbench-domotics_base-board-arranged,0,0,3,3,0,0,50.61,39.019999999999996,46.3,46.2,False,False
control,pcbench-epapercard_epapercard,0,0,0,0,137,137,46.49,48.43,18.2,18.4,False,False
control,pcbench-esper_EsperDNS,9,9,0,0,0,0,74.31,76.88999999999999,42.9,43.0,False,False
control,pcbench-free-of-charge_BMS,0,0,0,0,142,142,160.33,139.45000000000002,63.7,63.5,False,False
control,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,0,0,0,0,0,118.51,127.69999999999999,92.3,92.3,False,False
control,pcbench-gb-hardware_GB-CARTPP-XC,9,9,0,0,0,0,123.87,110.05,40.1,40.2,False,False
control,pcbench-hbr-mk2_hbr-mk2-bpfs,7,7,0,0,0,0,97.44999999999999,95.54,52.6,52.5,False,False
control,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,35.79,27.8,40.6,40.8,False,False
control,pcbench-karabas-nano_karabas-nano-revC,81,80,1,1,200,199,299.43,299.57,63.3,64.3,True,True
control,pcbench-kinetoscope_sram-bank,112,110,0,0,0,0,299.18,299.78,83.2,80.7,True,True
control,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,117.69,126.81,32.1,32.2,False,False
control,pcbench-real-time-chess_kfchess,78,76,70,72,0,0,302.33000000000004,304.22,180.2,179.2,True,True
control,pcbench-rp2040-dmxsun_baseboard_2slots,0,0,8,8,0,0,28.41,27.93,37.5,37.7,False,False
control,pcbench-rp2040-dmxsun_baseboard_4slots,0,0,3,3,4,4,46.24,34.32,54.0,53.7,False,False
control,pcbench-srambo_1_srambo_1,1,1,0,0,136,136,169.95000000000002,165.21,41.7,39.7,False,False
control,pcbench-zx-sizif-128_sizif128,0,0,0,0,12,12,211.8,241.70000000000002,85.6,85.5,False,False
control,kicad-issue180-test--test,0,0,0,0,0,0,4.890000000000001,5.0,26.6,26.6,False,False
control,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,217.88,144.26000000000002,49.1,48.5,False,False
control,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,67.49,75.19,51.7,51.4,False,False
control,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,11.5,11.649999999999999,17.3,17.4,False,False
final,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,146.64,102.1,102.7,False,False
final,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,151.38000000000002,148.14,62.3,63.4,False,False
final,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,76.80999999999999,120.25,36.7,36.9,False,False
final,pcbench-CAL430FR_CAL430F,0,0,0,0,0,0,164.21,203.5,29.4,29.5,False,False
final,pcbench-CATs-Eurosynth_Abakus_Main,15,15,0,0,0,0,115.75,144.54,37.5,38.2,False,False
final,pcbench-CATs-Eurosynth_CGS_Analog_Switch_Matrix_Main,8,8,0,0,0,0,77.34,90.01,38.6,38.8,False,False
final,pcbench-CATs-Eurosynth_MFOS_Eight_Stage_Phase_Shifter_-_Main,20,20,0,0,0,0,78.34,78.91000000000001,37.0,37.1,False,False
final,pcbench-DC25_DC25,0,0,11,11,29,29,30.59,26.0,19.9,19.6,False,False
final,pcbench-EncoderBoard_Enc_Pan_Led,0,0,0,0,39,39,109.18,110.57,32.1,32.1,False,False
final,pcbench-FRM16_Relay_Module_I2C_Controller_relay_controller,0,0,0,0,0,0,24.99,19.59,17.4,17.3,False,False
final,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,94.14,95.06,35.4,35.3,False,False
final,pcbench-Hardware_Playground_rpi_zero,0,0,31,31,0,0,32.36000000000001,35.43,22.6,22.6,False,False
final,pcbench-LPC2148_Stick_LPC2148_stick,3,3,3,3,182,182,235.33,229.04,61.2,58.7,False,False
final,pcbench-LPC2148_Stick__autosave-LPC2148_stick,3,3,3,3,182,182,225.96,210.60999999999999,59.6,60.2,False,False
final,pcbench-Mouse_Mouse,4,4,0,0,44,44,38.980000000000004,51.69,36.1,36.1,False,False
final,pcbench-NRC2016_usb_sio,0,0,0,0,166,166,27.53,31.21,27.8,28.0,False,False
final,pcbench-Pi1541io_Pi1541io,9,9,12,12,0,0,97.42,90.89999999999999,39.8,40.1,False,False
final,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,20.669999999999998,17.939999999999998,42.2,42.0,False,False
final,pcbench-RoBoC_RoboticsMKII,0,0,3,3,0,0,157.17000000000002,167.18,60.4,61.2,False,False
